user_id,app_name,age,gender,country,urban_rural,income_level,employment_status,relationship_status,has_children,exercise_hours_per_week,sleep_hours_per_night,diet_quality,smoking,perceived_stress_score,daily_steps_count,likes_given_per_day,comments_written_per_day,dms_sent_per_week,followers_count,following_count,uses_premium_features,account_creation_year,privacy_setting_level
30,Instagram,34,Female,Brazil,Suburban,Middle,Student,Single,No,6.7,7.2,Good,Yes,26,8018,130,33,26,1945,3236,Yes,2023,Public
31,Instagram,56,Female,United States,Urban,Lower-middle,Part-time,Married,No,8.3,6.9,Average,Yes,3,7877,46,15,15,729,637,Yes,2022,Public
32,Instagram,37,Male,Brazil,Urban,Low,Full-time employed,Single,Yes,1,7.3,Good,No,22,7873,136,39,29,1790,3556,No,2015,Public
33,Instagram,61,Female,United States,Suburban,Low,Unemployed,Married,Yes,10.1,7.7,Average,No,22,7998,88,20,28,1492,1006,No,2014,Private
34,Instagram,39,Male,Brazil,Suburban,Lower-middle,Unemployed,Divorced,No,5.9,7.9,Poor,Yes,27,7934,105,33,28,3885,6249,No,2017,Public
35,Instagram,54,Male,Brazil,Rural,High,Full-time employed,Married,No,2.2,7.8,Average,No,10,8053,53,18,19,766,1202,Yes,2012,Public
36,Instagram,40,Male,Australia,Urban,Upper-middle,Full-time employed,Divorced,No,1.2,7.2,Poor,Former,23,7941,137,34,23,111,276,Yes,2011,Friends only
37,Instagram,28,Non-binary,India,Urban,Low,Full-time employed,In a relationship,No,5.8,7.9,Average,No,3,8177,51,16,18,248,102,No,2011,Friends only
38,Instagram,27,Non-binary,Australia,Urban,Low,Student,Divorced,No,9.7,6.9,Excellent,Yes,12,7976,84,25,21,667,875,No,2016,Public
39,Instagram,59,Male,Brazil,Urban,Low,Full-time employed,Married,Yes,11.7,6.1,Average,No,22,8055,42,14,13,601,267,Yes,2010,Private
40,Instagram,63,Female,United Kingdom,Urban,Upper-middle,Full-time employed,In a relationship,No,13,6.3,Poor,No,1,7952,22,8,10,1010,1416,No,2012,Public
41,Instagram,56,Female,South Korea,Suburban,Middle,Part-time,In a relationship,No,12.7,5.4,Excellent,No,32,7994,105,24,23,1585,1677,No,2023,Private
42,Instagram,64,Male,South Korea,Urban,Low,Unemployed,In a relationship,Yes,3.7,6.2,Poor,Former,10,8100,68,21,23,394,625,Yes,2010,Private
43,Instagram,15,Female,Other,Urban,Low,Full-time employed,Married,No,7.7,8.7,Good,No,19,8175,144,46,41,1754,2018,No,2015,Private
44,Instagram,49,Female,Germany,Urban,Upper-middle,Freelancer,Married,No,7.2,7.5,Average,No,26,8082,157,46,29,4919,10000,No,2022,Friends only
45,Instagram,63,Male,Brazil,Suburban,Middle,Freelancer,Single,No,8.5,7,Average,No,4,8143,29,10,11,136,280,No,2018,Private
46,Instagram,19,Female,Brazil,Urban,Low,Full-time employed,Married,No,2.9,6.3,Poor,Yes,19,8085,187,43,27,1686,3518,Yes,2025,Friends only
47,Instagram,33,Female,South Korea,Rural,Middle,Part-time,In a relationship,Yes,7.4,9.9,Average,No,7,7888,104,24,25,890,1354,No,2013,Friends only
48,Instagram,21,Male,United States,Urban,Lower-middle,Full-time employed,Single,No,2.5,6.1,Excellent,Yes,2,8089,39,9,19,1200,2272,No,2021,Private
49,Instagram,51,Female,Australia,Rural,Middle,Full-time employed,Divorced,No,9.5,8,Poor,Former,17,7968,162,34,27,356,406,No,2011,Public
50,Instagram,30,Male,Japan,Suburban,Middle,Full-time employed,In a relationship,Yes,5.5,6.4,Good,No,39,8123,222,61,63,1404,630,No,2020,Public
51,Instagram,16,Male,United States,Suburban,Middle,Student,In a relationship,Yes,4.8,5.5,Good,Yes,35,7981,141,44,42,4237,4438,Yes,2018,Public
52,Instagram,37,Female,Brazil,Suburban,Middle,Student,Widowed,Yes,2.7,7.6,Average,Former,35,7941,185,40,38,408,513,Yes,2015,Public
53,Instagram,26,Non-binary,United States,Urban,High,Freelancer,In a relationship,No,4.2,6,Poor,No,32,8065,188,56,47,278,205,No,2018,Friends only
54,Instagram,62,Male,Brazil,Urban,Lower-middle,Full-time employed,In a relationship,No,1.3,7,Average,Former,11,8047,114,43,31,442,662,No,2021,Private
55,Instagram,21,Male,Japan,Urban,Middle,Full-time employed,In a relationship,No,4.6,5.5,Poor,No,34,7958,164,53,37,11441,9950,No,2012,Private
56,Instagram,38,Female,India,Suburban,Low,Full-time employed,Single,No,10.5,5.4,Poor,Yes,26,8061,115,39,25,146,177,No,2019,Friends only
57,Instagram,65,Female,Brazil,Rural,Middle,Full-time employed,Married,No,4.1,7.6,Excellent,No,18,8010,96,26,21,526,617,Yes,2018,Friends only
58,Instagram,14,Female,Canada,Urban,Low,Full-time employed,Divorced,Yes,6.9,6.7,Average,No,4,8006,29,10,14,561,431,Yes,2022,Public
59,Instagram,32,Male,India,Urban,Lower-middle,Full-time employed,Divorced,No,18.5,8.3,Excellent,No,27,7887,137,43,37,5588,10000,Yes,2011,Private
60,Instagram,40,Male,United States,Suburban,Lower-middle,Freelancer,Single,No,1.8,6.2,Good,No,17,8010,67,21,21,1680,2399,Yes,2025,Public
61,Instagram,59,Male,India,Urban,Low,Unemployed,Married,No,13.8,6.5,Average,No,30,8080,107,35,35,1011,2419,No,2015,Private
62,Instagram,19,Female,Canada,Urban,Upper-middle,Freelancer,Married,Yes,5,5.6,Average,No,26,7888,169,49,29,162,232,No,2020,Public
63,Instagram,56,Male,Brazil,Urban,Middle,Unemployed,Single,Yes,8,8.2,Poor,No,19,7914,157,46,27,1427,1707,No,2014,Public
64,Instagram,20,Female,Canada,Rural,Middle,Student,In a relationship,No,12.3,7.7,Good,No,6,7981,109,25,26,708,1548,No,2024,Private
65,Instagram,59,Male,Canada,Suburban,Low,Freelancer,Single,Yes,2.2,8.4,Excellent,No,8,7926,68,17,14,2189,3680,No,2025,Private
66,Instagram,47,Female,United States,Suburban,Low,Unemployed,In a relationship,No,7.6,8.2,Average,No,0,8082,30,9,8,3126,6378,No,2018,Private
67,Instagram,26,Male,United States,Urban,Lower-middle,Freelancer,In a relationship,No,8.9,6.7,Poor,No,38,8020,189,44,33,763,343,No,2013,Private
68,Instagram,29,Male,Other,Rural,Lower-middle,Unemployed,Divorced,No,7.1,7,Excellent,No,29,7966,155,39,36,4829,10000,No,2010,Public
69,Instagram,48,Female,Other,Urban,Lower-middle,Unemployed,Single,Yes,1.9,5.8,Excellent,No,29,8030,150,40,35,1323,2018,Yes,2023,Private
70,Instagram,62,Male,Canada,Urban,Lower-middle,Part-time,In a relationship,No,4.9,7.7,Average,No,15,8002,68,21,22,288,698,Yes,2022,Private
71,Instagram,52,Female,United States,Suburban,Lower-middle,Freelancer,Single,No,7.6,7.2,Average,No,31,8018,72,29,27,3026,6005,No,2022,Friends only
72,Instagram,16,Female,South Korea,Urban,Lower-middle,Freelancer,Single,No,9.3,7.2,Poor,No,8,7940,87,30,24,2395,3066,No,2020,Friends only
73,Instagram,14,Female,Australia,Suburban,Middle,Student,Married,No,7.5,6.7,Excellent,No,11,8109,129,38,32,492,1086,No,2014,Friends only
74,Instagram,18,Male,United States,Urban,Lower-middle,Full-time employed,Married,Yes,10.2,6.7,Average,Former,27,8125,213,57,46,14502,10000,No,2013,Private
75,Instagram,54,Male,India,Urban,Low,Student,Married,No,4.8,6,Average,No,30,8174,132,39,21,361,801,No,2016,Public
76,Instagram,16,Male,United States,Rural,Low,Student,Single,No,10.5,7.5,Average,No,21,8053,103,27,29,292,572,No,2018,Public
77,Instagram,41,Male,Other,Urban,Middle,Full-time employed,Single,Yes,4.5,6.6,Average,No,25,8000,179,60,43,104,122,No,2025,Friends only
78,Instagram,30,Female,India,Suburban,Middle,Full-time employed,In a relationship,No,13.2,6.8,Excellent,No,33,8090,209,57,34,5883,10000,No,2014,Friends only
79,Instagram,38,Male,Canada,Urban,Low,Full-time employed,Married,No,7.8,7.6,Poor,No,38,7749,260,74,49,4271,4232,No,2014,Friends only
80,Instagram,56,Male,Australia,Suburban,Lower-middle,Unemployed,Single,Yes,5,5.7,Good,Yes,12,7985,71,20,17,534,1317,No,2022,Private
81,Instagram,46,Male,India,Urban,Middle,Full-time employed,In a relationship,No,16,9,Excellent,No,36,7930,195,68,50,366,748,No,2025,Public
82,Instagram,22,Female,United States,Urban,High,Freelancer,Single,No,13.2,6.1,Average,No,5,8131,75,20,27,601,379,Yes,2015,Private
83,Instagram,48,Non-binary,United States,Urban,Low,Unemployed,Married,Yes,1.8,7.3,Excellent,No,30,8134,215,58,44,1071,1134,No,2015,Private
84,Instagram,26,Female,United States,Urban,Middle,Full-time employed,In a relationship,Yes,16.8,8.6,Excellent,No,2,7983,37,6,11,13665,10000,No,2010,Public
85,Instagram,43,Male,United Kingdom,Urban,Low,Part-time,Single,No,11,8.7,Average,No,10,7962,72,23,20,5138,7894,No,2010,Private
86,Instagram,60,Male,South Korea,Suburban,Low,Full-time employed,Married,No,4.3,6.2,Average,Former,35,7833,127,42,33,361,460,No,2025,Friends only
87,Instagram,27,Male,United States,Urban,Middle,Student,In a relationship,Yes,10.4,6.2,Average,No,0,7979,23,6,10,4208,4738,Yes,2022,Public
88,Instagram,20,Male,Japan,Rural,Lower-middle,Freelancer,Married,Yes,2.1,6.9,Good,No,6,7996,43,13,11,1073,1918,Yes,2025,Public
89,Instagram,26,Female,Other,Suburban,Middle,Full-time employed,Divorced,No,4.1,7.1,Average,No,39,8055,153,52,37,796,799,No,2020,Public
90,Instagram,35,Female,India,Suburban,Upper-middle,Full-time employed,Married,No,6.6,6.3,Poor,No,6,8008,45,18,16,292,605,No,2023,Public
91,Instagram,52,Male,United States,Suburban,Middle,Unemployed,Single,No,8.7,4.7,Average,Former,8,8118,113,27,23,3963,8943,Yes,2011,Friends only
92,Instagram,33,Female,South Korea,Rural,Lower-middle,Unemployed,Single,No,10.5,5,Poor,Former,20,8076,146,47,38,1786,2967,No,2020,Public
93,Instagram,28,Female,Germany,Suburban,Middle,Full-time employed,In a relationship,Yes,9.7,5.7,Average,No,14,8045,105,21,32,189,192,Yes,2012,Private
94,Instagram,57,Male,India,Urban,Upper-middle,Full-time employed,Married,Yes,0.3,7.7,Good,Yes,1,7865,26,5,16,5983,8155,No,2010,Public
95,Instagram,30,Male,Brazil,Suburban,Middle,Freelancer,Single,No,5.6,5.4,Average,No,17,8079,123,44,31,450,577,No,2015,Private
96,Instagram,59,Male,Brazil,Urban,Middle,Freelancer,Married,No,4.2,8.3,Average,No,26,8101,158,55,37,726,1036,No,2020,Private
97,Instagram,65,Male,United States,Urban,Middle,Retired,Single,No,5.9,6.8,Good,No,1,8121,27,4,10,4773,10000,No,2024,Public
98,Instagram,36,Male,United Kingdom,Rural,Lower-middle,Full-time employed,Single,No,1.8,7.8,Excellent,No,36,7907,120,32,33,364,518,Yes,2017,Friends only
99,Instagram,38,Female,United States,Urban,Middle,Freelancer,In a relationship,No,4.1,6.8,Average,No,11,7802,85,18,25,2918,4602,No,2020,Friends only
100,Instagram,37,Prefer not to say,Japan,Rural,Middle,Full-time employed,Married,No,5.6,7.4,Average,No,24,7783,114,29,21,172,76,No,2015,Public
101,Instagram,57,Male,United States,Urban,Low,Freelancer,In a relationship,No,4,7.9,Average,No,11,8126,122,36,27,777,1686,No,2017,Public
102,Instagram,53,Male,India,Rural,Low,Full-time employed,In a relationship,No,6.6,6.9,Excellent,No,40,7902,191,53,42,14397,10000,No,2017,Private
103,Instagram,41,Male,United Kingdom,Suburban,Middle,Retired,Single,Yes,8.2,7.6,Average,No,24,8080,112,48,29,366,547,No,2025,Friends only
104,Instagram,27,Female,India,Rural,Middle,Freelancer,Married,No,4.7,7.4,Good,No,34,7960,209,52,43,1986,3526,No,2022,Public
105,Instagram,57,Male,Other,Suburban,Lower-middle,Student,In a relationship,No,7.9,6.4,Good,No,40,7945,155,50,41,1570,1222,No,2012,Private
106,Instagram,13,Female,United States,Rural,High,Student,Single,No,14.4,6.4,Average,No,32,8014,153,45,26,321,408,No,2018,Friends only
107,Instagram,37,Male,Germany,Urban,Low,Unemployed,In a relationship,Yes,9.1,6.2,Average,No,10,7912,27,6,12,430,418,No,2014,Private
108,Instagram,19,Female,United Kingdom,Urban,Middle,Freelancer,In a relationship,Yes,4.8,6.3,Average,No,12,7944,76,15,22,1221,2874,No,2020,Private
109,Instagram,21,Male,Brazil,Urban,Low,Full-time employed,Single,No,5.2,5.9,Good,Former,30,8174,173,55,34,10405,6903,No,2015,Public
110,Instagram,36,Female,Japan,Suburban,Low,Full-time employed,Single,No,5.1,6.9,Poor,No,40,8007,129,46,36,930,1767,No,2015,Public
111,Instagram,13,Female,Germany,Suburban,Middle,Full-time employed,Single,No,3.2,8.3,Poor,No,20,7994,120,35,32,477,298,No,2017,Friends only
112,Instagram,56,Female,Australia,Suburban,Middle,Student,Single,Yes,11.6,5.6,Average,No,28,8003,108,38,31,181,185,No,2024,Private
113,Instagram,20,Male,India,Rural,Low,Full-time employed,Single,No,6,7.3,Average,No,34,7903,169,55,36,5320,10000,No,2020,Public
114,Instagram,36,Female,Australia,Rural,Low,Full-time employed,In a relationship,No,7.4,7.1,Excellent,Former,28,8005,184,49,40,988,1741,No,2025,Friends only
115,Instagram,23,Female,United Kingdom,Suburban,Middle,Full-time employed,Single,No,3.6,6.9,Very poor,No,23,8003,180,39,35,8099,10000,No,2012,Public
116,Instagram,63,Male,India,Urban,Middle,Student,Married,No,5,5,Good,No,36,7829,174,50,51,523,253,Yes,2021,Friends only
117,Instagram,29,Male,Other,Suburban,Low,Unemployed,In a relationship,No,2.9,6.2,Excellent,No,8,7946,111,32,23,979,1091,No,2021,Private
118,Instagram,20,Female,South Korea,Urban,Low,Student,Single,No,4.9,7.1,Average,No,26,8112,116,42,29,381,741,No,2018,Public
119,Instagram,47,Male,India,Suburban,Low,Freelancer,In a relationship,No,5.6,7.7,Good,No,12,7956,99,30,19,414,219,No,2022,Private
120,Instagram,47,Male,South Korea,Urban,Low,Full-time employed,Single,No,4,8.1,Good,No,23,8081,95,30,22,933,2146,No,2020,Friends only
121,Instagram,45,Male,Canada,Urban,Lower-middle,Retired,Divorced,Yes,6.9,8.6,Excellent,No,32,8024,207,51,43,1930,3643,Yes,2018,Private
122,Instagram,17,Male,India,Urban,Middle,Full-time employed,Married,No,2.2,7.4,Very poor,Former,21,8011,163,50,43,1970,2950,Yes,2018,Public
123,Instagram,54,Female,Canada,Suburban,Lower-middle,Student,Single,No,9.3,7.6,Good,Former,14,7979,78,24,25,578,232,No,2025,Public
124,Instagram,51,Male,United States,Urban,Upper-middle,Full-time employed,Married,No,13.3,6.7,Good,Yes,9,7942,68,18,19,955,1009,No,2024,Public
125,Instagram,53,Female,Canada,Urban,Lower-middle,Full-time employed,Single,No,5.4,6.8,Poor,No,14,8041,126,39,18,1053,718,No,2016,Public
126,Instagram,40,Female,United States,Suburban,Upper-middle,Student,In a relationship,No,2.8,5.1,Average,No,22,8067,102,30,26,904,617,Yes,2011,Public
127,Instagram,19,Male,Japan,Urban,Low,Full-time employed,Single,No,5.5,5.8,Average,No,15,7931,85,31,29,266,169,No,2021,Friends only
128,Instagram,21,Non-binary,Australia,Suburban,Upper-middle,Full-time employed,In a relationship,Yes,12.7,8.9,Excellent,No,31,7971,183,51,30,2026,1377,Yes,2016,Private
129,Instagram,20,Female,United Kingdom,Rural,Lower-middle,Part-time,In a relationship,No,13.5,6.2,Very poor,No,16,7958,132,41,35,224,147,No,2021,Private
130,Instagram,24,Male,India,Urban,High,Full-time employed,In a relationship,No,2.6,8.6,Good,Former,5,8080,65,12,12,1607,2776,No,2013,Friends only
131,Instagram,46,Male,United States,Urban,High,Full-time employed,Widowed,No,13.2,7.3,Poor,No,26,8037,161,51,31,242,291,Yes,2016,Private
132,Instagram,45,Male,India,Urban,Low,Retired,Married,Yes,8,7.7,Average,No,30,8104,168,40,31,1702,2745,No,2011,Public
133,Instagram,60,Female,Brazil,Urban,Low,Student,Single,No,6.5,7.1,Poor,No,29,7969,177,65,37,401,168,No,2022,Private
134,Instagram,35,Male,India,Urban,Low,Student,In a relationship,No,5,7.6,Excellent,No,38,8002,177,65,44,123,251,No,2019,Friends only
135,Instagram,36,Female,United States,Urban,Lower-middle,Freelancer,Single,No,3.3,6,Very poor,No,22,7946,100,23,21,151,67,No,2022,Public
136,Instagram,49,Female,United States,Urban,Middle,Student,Divorced,No,5.3,7.4,Average,No,22,8078,135,38,23,1072,1159,No,2025,Friends only
137,Instagram,47,Male,United States,Urban,Upper-middle,Student,Single,No,6.7,6.6,Very poor,No,35,7998,196,59,43,5154,7926,No,2010,Public
138,Instagram,56,Female,Australia,Urban,Upper-middle,Unemployed,Single,No,1,5.9,Average,Yes,34,8084,207,60,42,1411,1672,No,2022,Private
139,Instagram,52,Female,United States,Urban,Middle,Part-time,Single,No,4.7,6.9,Poor,Yes,19,8121,97,23,23,1234,2278,No,2016,Friends only
140,Instagram,34,Female,South Korea,Urban,Lower-middle,Student,Married,Yes,5.6,9,Good,No,5,8052,85,20,23,6935,10000,No,2010,Friends only
141,Instagram,39,Male,Canada,Suburban,Lower-middle,Part-time,In a relationship,No,6.2,6.8,Very poor,No,8,7834,48,23,21,1323,1167,No,2012,Public
142,Instagram,47,Male,Brazil,Suburban,High,Freelancer,Married,No,10.2,7.6,Very poor,Former,27,7953,163,33,45,1151,1369,No,2023,Friends only
143,Instagram,13,Female,Australia,Urban,Low,Full-time employed,In a relationship,No,5.8,6.1,Very poor,No,15,8023,115,46,34,976,1439,No,2020,Friends only
144,Instagram,47,Female,Brazil,Urban,High,Full-time employed,Single,No,7.1,6.3,Average,Former,26,7997,102,27,32,970,1807,Yes,2025,Friends only
145,Instagram,49,Female,Brazil,Urban,Lower-middle,Freelancer,Single,Yes,6.3,7.9,Excellent,Yes,28,8043,115,34,28,909,1744,No,2018,Private
146,Instagram,59,Prefer not to say,United States,Suburban,Lower-middle,Full-time employed,In a relationship,Yes,6.2,4.7,Excellent,No,10,7909,55,11,16,818,805,No,2014,Private
147,Instagram,26,Male,Canada,Urban,Upper-middle,Full-time employed,In a relationship,Yes,11.3,8.4,Excellent,No,25,7935,148,52,29,1000,401,No,2022,Public
148,Instagram,15,Female,United Kingdom,Suburban,Middle,Unemployed,Single,No,7.6,6.4,Very poor,No,17,8156,98,39,29,559,957,No,2024,Public
149,Instagram,13,Non-binary,Other,Urban,Middle,Student,In a relationship,Yes,16.9,9.5,Average,No,18,7905,144,37,38,3442,6685,No,2021,Public
150,Instagram,17,Female,Australia,Urban,Upper-middle,Student,Single,No,16.6,6.2,Excellent,No,13,7842,108,38,26,1243,1069,Yes,2017,Friends only
151,Instagram,38,Male,United Kingdom,Urban,Lower-middle,Full-time employed,Single,No,2.3,8.2,Average,No,28,7999,182,56,38,9843,10000,No,2023,Friends only
152,Instagram,26,Female,United States,Suburban,Low,Freelancer,In a relationship,No,15.5,7.4,Good,Former,27,8062,145,42,35,3513,5040,No,2023,Public
153,Instagram,51,Female,United States,Rural,Lower-middle,Student,Single,No,9,8.8,Good,Former,19,7997,133,26,32,746,542,No,2018,Public
154,Instagram,39,Non-binary,United States,Urban,Middle,Part-time,Married,Yes,11.2,6.6,Average,Yes,34,8039,147,53,32,4544,1908,No,2025,Friends only
155,Instagram,21,Prefer not to say,South Korea,Suburban,Middle,Full-time employed,Married,No,1.1,7.8,Average,No,30,8118,194,53,43,358,247,No,2025,Public
156,Instagram,27,Female,United Kingdom,Urban,Lower-middle,Unemployed,Divorced,No,3.6,6.1,Good,No,24,7974,125,33,29,2162,3302,No,2017,Private
157,Instagram,27,Female,Other,Urban,High,Full-time employed,Single,Yes,5.9,8,Average,No,34,8060,162,41,40,1054,1849,No,2021,Public
158,Instagram,38,Female,United Kingdom,Suburban,Upper-middle,Student,In a relationship,No,12.2,6.9,Excellent,No,14,7863,115,36,28,5321,9639,No,2013,Private
159,Instagram,54,Male,United States,Urban,Upper-middle,Full-time employed,Divorced,No,7.4,5.4,Very poor,No,9,7848,22,8,12,1148,2455,No,2022,Private
160,Instagram,25,Female,United States,Suburban,Middle,Full-time employed,Divorced,No,5.9,9,Average,No,34,8025,183,58,50,3282,8074,No,2023,Private
161,Instagram,63,Male,Australia,Urban,Low,Full-time employed,Single,No,5.6,7.8,Average,No,5,7943,63,15,13,421,219,Yes,2017,Friends only
162,Instagram,44,Male,Brazil,Urban,Middle,Freelancer,Married,Yes,9.7,5.6,Very poor,Yes,6,7945,40,4,7,364,151,No,2016,Private
163,Instagram,51,Female,Brazil,Urban,Low,Full-time employed,Married,No,4.3,7.1,Poor,No,19,7996,87,33,26,3792,3815,No,2025,Public
164,Instagram,61,Male,United States,Suburban,High,Full-time employed,Married,No,8.1,7.9,Excellent,No,39,8126,196,52,32,521,1174,No,2014,Private
165,Instagram,64,Male,Other,Urban,Middle,Student,Single,Yes,14.2,8.5,Good,No,7,7895,107,29,26,4643,5591,No,2012,Public
166,Instagram,44,Male,United States,Urban,Low,Freelancer,Single,No,4.1,8.7,Average,Yes,12,8207,71,32,25,507,834,Yes,2016,Friends only
167,Instagram,16,Female,United States,Rural,Upper-middle,Part-time,Married,No,7.9,6.7,Average,No,20,7863,105,28,19,2294,1540,No,2016,Public
168,Instagram,42,Male,United States,Urban,Low,Full-time employed,Married,No,3.7,8.3,Very poor,No,40,7993,190,54,42,709,1006,No,2023,Friends only
169,Instagram,49,Female,United States,Urban,Lower-middle,Part-time,Single,No,1.9,6.9,Good,No,33,8057,136,32,42,10372,10000,No,2011,Private
170,Instagram,35,Prefer not to say,South Korea,Urban,Middle,Part-time,In a relationship,No,8.2,8.8,Poor,Former,2,8034,46,15,12,1514,2064,Yes,2010,Friends only
171,Instagram,51,Prefer not to say,United States,Urban,Lower-middle,Full-time employed,Married,No,6.3,6.5,Average,No,31,7853,131,27,24,307,344,No,2018,Friends only
172,Instagram,57,Male,Other,Rural,Upper-middle,Student,Married,No,5.2,5.1,Average,No,34,7984,191,44,45,806,1500,No,2023,Private
173,Instagram,27,Female,Australia,Suburban,Middle,Student,In a relationship,No,5.1,6.3,Average,No,20,8097,134,36,36,3102,2602,No,2020,Friends only
174,Instagram,55,Male,Australia,Urban,Lower-middle,Freelancer,In a relationship,No,7.7,7.6,Average,Yes,9,8066,47,21,17,353,591,No,2012,Private
175,Instagram,41,Female,Australia,Suburban,Upper-middle,Unemployed,Married,No,5.1,7.7,Very poor,No,8,7946,84,23,9,5576,5396,Yes,2012,Private
176,Instagram,48,Female,India,Urban,Upper-middle,Full-time employed,Single,Yes,4.7,6.5,Good,No,10,8020,27,10,13,2770,4951,Yes,2013,Public
177,Instagram,25,Male,India,Urban,Lower-middle,Student,Single,No,3.1,7.6,Average,No,19,7837,161,42,34,329,482,No,2017,Friends only
178,Instagram,44,Male,Brazil,Suburban,Low,Full-time employed,In a relationship,No,10.9,5.3,Average,No,26,7834,75,25,26,253,430,No,2017,Public
179,Instagram,19,Male,Brazil,Suburban,Middle,Full-time employed,In a relationship,No,2.7,7.3,Poor,No,36,7950,186,56,32,248,111,No,2014,Public
